State,County,Date,Covid_Cummulative_Numbers
Florida,Martin,2020-05-31,460
Florida,Miami-Dade,2020-05-31,5937
Florida,Monroe,2020-05-31,29
Florida,Nassau,2020-05-31,20
Florida,Okaloosa,2020-05-31,69
Florida,Okeechobee,2020-05-31,72
Florida,Orange,2020-05-31,617
Florida,Osceola,2020-05-31,223
Florida,Out of FL,2020-05-31,0
Florida,Palm Beach,2020-05-31,3033
Florida,Pasco,2020-05-31,137
Florida,Pinellas,2020-05-31,568
Florida,Polk,2020-05-31,544
Florida,Putnam,2020-05-31,46
Florida,Santa Rosa,2020-05-31,91
Florida,Sarasota,2020-05-31,283
Florida,Seminole,2020-05-31,111
Florida,St. Johns,2020-05-31,52
Florida,St. Lucie,2020-05-31,224
Florida,Sumter,2020-05-31,72
Florida,Suwannee,2020-05-31,37
Florida,Taylor,2020-05-31,19
Florida,Unassigned,2020-05-31,77
Florida,Union,2020-05-31,28
Florida,Volusia,2020-05-31,284
Florida,Wakulla,2020-05-31,11
Florida,Walton,2020-05-31,79
Florida,Washington,2020-05-31,45
California,Alameda,2020-06-30,2574
California,Alpine,2020-06-30,0
California,Amador,2020-06-30,3
California,Butte,2020-06-30,124
California,Calaveras,2020-06-30,17
California,Colusa,2020-06-30,41
California,Contra Costa,2020-06-30,1682
California,Del Norte,2020-06-30,5
California,El Dorado,2020-06-30,88
California,Fresno,2020-06-30,3068
California,Glenn,2020-06-30,87
California,Humboldt,2020-06-30,32
California,Imperial,2020-06-30,4608
California,Inyo,2020-06-30,11
California,Kern,2020-06-30,2405
California,Kings,2020-06-30,1648
California,Lake,2020-06-30,39
California,Lassen,2020-06-30,224
California,Los Angeles,2020-06-30,48849
California,Madera,2020-06-30,382
California,Marin,2020-06-30,1727
California,Mariposa,2020-06-30,10
California,Mendocino,2020-06-30,48
California,Merced,2020-06-30,696
California,Modoc,2020-06-30,0
California,Mono,2020-06-30,5
California,Monterey,2020-06-30,1112
California,Napa,2020-06-30,205
California,Nevada,2020-06-30,72
California,Orange,2020-06-30,7582
California,Out of CA,2020-06-30,0
California,Placer,2020-06-30,469
California,Plumas,2020-06-30,5
California,Riverside,2020-06-30,9810
California,Sacramento,2020-06-30,1823
California,San Benito,2020-06-30,126
California,San Bernardino,2020-06-30,7304
California,San Diego,2020-06-30,6668
California,San Francisco,2020-06-30,1015
California,San Joaquin,2020-06-30,2998
California,San Luis Obispo,2020-06-30,342
California,San Mateo,2020-06-30,1128
California,Santa Barbara,2020-06-30,1247
California,Santa Clara,2020-06-30,1594
California,Santa Cruz,2020-06-30,166
California,Shasta,2020-06-30,73
California,Sierra,2020-06-30,0
