City,Date,No_of_bedrooms,AvgSale_Price
Los-Angeles,9/30/1997,2,150161
Los-Angeles,10/31/1997,2,150840
Los-Angeles,11/30/1997,2,151418
Los-Angeles,12/31/1997,2,152202
Los-Angeles,1/31/1998,2,153519
Los-Angeles,2/28/1998,2,155141
Los-Angeles,3/31/1998,2,156614
Los-Angeles,4/30/1998,2,157618
Los-Angeles,5/31/1998,2,158558
Los-Angeles,6/30/1998,2,159373
Los-Angeles,7/31/1998,2,159924
Los-Angeles,8/31/1998,2,160730
Los-Angeles,9/30/1998,2,161892
Los-Angeles,10/31/1998,2,163276
Los-Angeles,11/30/1998,2,164648
Los-Angeles,12/31/1998,2,165689
Los-Angeles,1/31/1999,2,166954
Los-Angeles,2/28/1999,2,168078
Los-Angeles,3/31/1999,2,169314
Los-Angeles,4/30/1999,2,170417
Los-Angeles,5/31/1999,2,171517
Los-Angeles,6/30/1999,2,173089
Los-Angeles,7/31/1999,2,174834
Los-Angeles,8/31/1999,2,176020
Los-Angeles,9/30/1999,2,176879
Los-Angeles,10/31/1999,2,177814
Los-Angeles,11/30/1999,2,179243
Los-Angeles,12/31/1999,2,180725
Los-Angeles,1/31/2000,2,182036
Los-Angeles,2/29/2000,2,183300
Los-Angeles,3/31/2000,2,184762
Los-Angeles,4/30/2000,2,186408
Los-Angeles,5/31/2000,2,188201
Los-Angeles,6/30/2000,2,189833
Los-Angeles,7/31/2000,2,191456
Los-Angeles,8/31/2000,2,193265
Los-Angeles,9/30/2000,2,195118
Los-Angeles,10/31/2000,2,196857
Los-Angeles,11/30/2000,2,198523
Los-Angeles,12/31/2000,2,200321
Los-Angeles,1/31/2001,2,202037
Los-Angeles,2/28/2001,2,203863
Los-Angeles,3/31/2001,2,205624
Los-Angeles,4/30/2001,2,207719
Los-Angeles,5/31/2001,2,209629
Los-Angeles,6/30/2001,2,211606
Los-Angeles,7/31/2001,2,213322
Los-Angeles,8/31/2001,2,215200
Los-Angeles,9/30/2001,2,217121
Los-Angeles,10/31/2001,2,219384
Los-Angeles,11/30/2001,2,221521
Los-Angeles,12/31/2001,2,223814
Los-Angeles,1/31/2002,2,226172
Los-Angeles,2/28/2002,2,228812
Los-Angeles,3/31/2002,2,231583
Los-Angeles,4/30/2002,2,234509
Los-Angeles,5/31/2002,2,237400
Los-Angeles,6/30/2002,2,240712
Los-Angeles,7/31/2002,2,244528
Los-Angeles,8/31/2002,2,248611
Los-Angeles,9/30/2002,2,252620
Los-Angeles,10/31/2002,2,256725
Los-Angeles,11/30/2002,2,261172
Los-Angeles,12/31/2002,2,265650
Los-Angeles,1/31/2003,2,269696
Los-Angeles,2/28/2003,2,273372
Los-Angeles,3/31/2003,2,277150
Los-Angeles,4/30/2003,2,280793
Los-Angeles,5/31/2003,2,284843
Los-Angeles,6/30/2003,2,288317
Los-Angeles,7/31/2003,2,292782
Los-Angeles,8/31/2003,2,297660
Los-Angeles,9/30/2003,2,303179
Los-Angeles,10/31/2003,2,308035
Los-Angeles,11/30/2003,2,313695
Los-Angeles,12/31/2003,2,319493
Los-Angeles,1/31/2004,2,326495
Los-Angeles,2/29/2004,2,333515
Los-Angeles,3/31/2004,2,340963
Los-Angeles,4/30/2004,2,349120
Los-Angeles,5/31/2004,2,358359
Los-Angeles,6/30/2004,2,367849
Los-Angeles,7/31/2004,2,375945
Los-Angeles,8/31/2004,2,382803
Los-Angeles,9/30/2004,2,389903
Los-Angeles,10/31/2004,2,397120
Los-Angeles,11/30/2004,2,403256
Los-Angeles,12/31/2004,2,409198
Los-Angeles,1/31/2005,2,414622
Los-Angeles,2/28/2005,2,421423
Los-Angeles,3/31/2005,2,428004
Los-Angeles,4/30/2005,2,434459
Los-Angeles,5/31/2005,2,439477
Los-Angeles,6/30/2005,2,444828
Los-Angeles,7/31/2005,2,451570
Los-Angeles,8/31/2005,2,459020
Los-Angeles,9/30/2005,2,466837
Los-Angeles,10/31/2005,2,474514
Los-Angeles,11/30/2005,2,480799
Los-Angeles,12/31/2005,2,486601
Los-Angeles,1/31/2006,2,491606
Los-Angeles,2/28/2006,2,495939
Los-Angeles,3/31/2006,2,500031
Los-Angeles,4/30/2006,2,503332
Los-Angeles,5/31/2006,2,507549
