indicator_id,region_id,date,value
ZSFH,99998,2006-09-30,177900.0
ZSFH,99998,2006-08-31,176678.0
ZSFH,99998,2006-07-31,176427.0
ZSFH,99998,2006-06-30,175571.0
ZSFH,99998,2006-05-31,172994.0
ZSFH,99998,2006-04-30,170344.0
ZSFH,99998,2006-03-31,167668.0
ZSFH,99998,2006-02-28,165442.0
ZSFH,99998,2006-01-31,162702.0
ZSFH,99998,2005-12-31,160948.0
ZSFH,99998,2005-11-30,159447.0
ZSFH,99998,2005-10-31,158513.0
ZSFH,99998,2005-09-30,157658.0
ZSFH,99998,2005-08-31,156047.0
ZSFH,99998,2005-07-31,153899.0
ZSFH,99998,2005-06-30,152600.0
ZSFH,99998,2005-05-31,152634.0
ZSFH,99998,2005-04-30,153370.0
ZSFH,99998,2005-03-31,154150.0
ZSFH,99998,2005-02-28,154467.0
ZSFH,99998,2005-01-31,155340.0
ZSFH,99997,2020-10-31,300823.0
ZSFH,99997,2020-09-30,300264.0
ZSFH,99997,2020-08-31,301682.0
ZSFH,99997,2020-07-31,284740.0
ZSFH,99997,2020-06-30,296682.0
ZSFH,99997,2020-05-31,289211.0
ZSFH,99997,2020-04-30,290721.0
ZSFH,99997,2020-03-31,291574.0
ZSFH,99997,2020-02-29,292572.0
ZSFH,99997,2020-01-31,292643.0
ZSFH,99997,2019-12-31,293197.0
ZSFH,99997,2019-11-30,291905.0
ZSFH,99997,2019-10-31,290949.0
ZSFH,99997,2019-09-30,289227.0
ZSFH,99997,2019-08-31,287519.0
ZSFH,99997,2019-07-31,285343.0
ZSFH,99997,2019-06-30,281579.0
ZSFH,99997,2019-05-31,278565.0
ZSFH,99997,2019-04-30,276179.0
ZSFH,99997,2019-03-31,274981.0
ZSFH,99997,2019-02-28,272581.0
ZSFH,99997,2019-01-31,270865.0
ZSFH,99997,2018-12-31,268621.0
ZSFH,99997,2018-11-30,267671.0
ZSFH,99997,2018-10-31,265982.0
ZSFH,99997,2018-09-30,264979.0
ZSFH,99997,2018-08-31,263582.0
ZSFH,99997,2018-07-31,263904.0
ZSFH,99997,2018-06-30,265633.0
ZSFH,99997,2018-05-31,265369.0
ZSFH,99997,2018-04-30,263607.0
ZSFH,99997,2018-03-31,260468.0
ZSFH,99997,2018-02-28,258140.0
ZSFH,99997,2018-01-31,255883.0
ZSFH,99997,2017-12-31,253146.0
ZSFH,99997,2017-11-30,251721.0
ZSFH,99997,2017-10-31,249891.0
ZSFH,99997,2017-09-30,248058.0
ZSFH,99997,2017-08-31,246292.0
ZSFH,99997,2017-07-31,243629.0
ZSFH,99997,2017-06-30,241339.0
ZSFH,99997,2017-05-31,238856.0
ZSFH,99997,2017-04-30,237041.0
ZSFH,99997,2017-03-31,234616.0
ZSFH,99997,2017-02-28,232718.0
ZSFH,99997,2017-01-31,230892.0
ZSFH,99997,2016-12-31,229001.0
ZSFH,99997,2016-11-30,226434.0
ZSFH,99997,2016-10-31,224685.0
ZSFH,99997,2016-09-30,222564.0
ZSFH,99997,2016-08-31,220526.0
ZSFH,99997,2016-07-31,217601.0
ZSFH,99997,2016-06-30,215252.0
ZSFH,99997,2016-05-31,213891.0
ZSFH,99997,2016-04-30,212577.0
ZSFH,99997,2016-03-31,212775.0
ZSFH,99997,2016-02-29,211513.0
ZSFH,99997,2016-01-31,210349.0
ZSFH,99997,2015-12-31,208236.0
